prefecture,prefecture_code,fiscal_year,as_of_date,period_type,scope,data_status,fund_balance_million_yen,average_fund_balance_million_yen,cash_deposit_million_yen,time_deposit_million_yen,negotiable_deposit_million_yen,securities_million_yen,government_bonds_million_yen,local_bonds_million_yen,government_guaranteed_bonds_million_yen,fiscal_investment_agency_bonds_million_yen,other_bonds_million_yen,securities_ratio_pct,government_bond_ratio_pct,cash_deposit_ratio_pct,investment_income_million_yen,fund_investment_income_million_yen,investment_yield_pct,bond_yield_pct,deposit_yield_pct,average_maturity_years,duration_years,lump_sum_management,maturity_ladder,investment_committee,risk_policy_public,R7_policy_change,R8_policy_change,source_document,source_page,source_table,source_url,publication_date,source_type,calculation_basis,comparison_level,comparison_notes,notes
和歌山県,300004,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,基金は預金を基本とし、県債管理基金の一部は他の地方公共団体債でも運用。,,令和7年12月 和歌山県議会定例会会議録（基金運用答弁）,HTML,,https://www.pref.wakayama.lg.jp/gijiroku/d00221553.html,,official_policy,,D,基金は基本的に預貯金で運用し、県債管理基金の一部は他自治体地方債等で債券運用する旨を公式答弁で確認。R7の残高・利回り等は未確認。,「見つからない」を「存在しない」とは扱わない。
和歌山県,300004,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,和歌山県 財政状況の公表（R8）,HTML,,https://www.pref.wakayama.lg.jp/prefg/010400/d00156229.html,,official_policy,,D,R8財政状況資料は公表されているが、基金の債券残高・国債残高・利回り等の比較可能な運用実績は確認できず。,「見つからない」を「存在しない」とは扱わない。
鳥取県,310000,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,80400.0,75500.0,62700.0,,,12100.0,,,,,,15.049751243781095,,77.98507462686567,,392.54,,1.125,0.411,,,,,,1.0,,,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,official_actual,"運用収入=預金26,312万円+債券12,942万円。比率は年度末基金総額804億円を分母に計算。",B,年度末基金総額・預金・有価証券、預金/債券の平均残高・利息・利回りまで比較可能。国債単独残高は分離なし。,平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,310000,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,資金運用（歳計現金、基金）,HTML,,https://www.pref.tottori.lg.jp/258339.htm,,official_policy,,D,基金は銀行預金、有価証券（国債・政府保証債・地方債）を基本。R8途中数値は未確認。,「見つからない」を「存在しない」とは扱わない。
島根県,320005,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,島根県 財政課 基金運用関係公開資料,,,,,searched_not_found,,E,R7基金全体の国債・債券残高、利回りの比較可能な公表実績を確認できず。,R6全国統一統計では有価証券比率が高位。
島根県,320005,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,財政課に「基金運用・管理業務（国債等の購入及び管理）」担当を配置する採用案内を確認。,令和8年度 島根県会計年度任用職員採用試験受験案内,,,https://www.pref.shimane.lg.jp/admin/syokuin/bosyu/bosyu_somu/kaikei_saiyoushiken_issei.data/jukenannai_0801.pdf,2026,official_recruitment,,D,R8に国債等の購入・管理業務が明示され、運用体制強化の証拠。ただしポートフォリオ数値は未確認。,「見つからない」を「存在しない」とは扱わない。
岡山県,330001,2025,2026-03-31,year_end_actual,prefecture_funds,NUMERIC_OFFICIAL_FORECAST,109323.195,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,令和7年度 基金の状況（決算見込）,1,基金の状況,https://www.pref.okayama.jp/uploaded/life/1052449_10196574_misc.pdf,2026-08-20,official_forecast,,D,R7年度末基金残高見込は公表。運用資産の現預金・債券内訳、国債残高、利回りは当該資料では確認できず。,"基金合計109,323,195千円。県債管理基金は満期一括償還分を含まない。決算見込値として扱う。"
岡山県,330001,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,岡山県公金運用方針に関する公式監査資料,10,公金運用の基本的方針・基金運用,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,,official_policy,,D,R8比較可能数値は未確認。,預金を基本としつつ、一括運用基金は債券のラダー運用を基本とする方針を公式資料で確認。R8実績数値は未確認。
広島県,340006,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,広島県 財政状況・公金関連公開資料,HTML,,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,,official_settlement,,D,R7決算関係資料は確認したが、基金全体の債券・国債残高、利回りを横断比較できる運用実績表は未確認。,「見つからない」を「存在しない」とは扱わない。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
広島県,340006,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,広島県 財政状況・公金関連公開資料,HTML,,https://www.pref.hiroshima.lg.jp/site/zaiseiyosann/zaiseijoukyou080529.html,,searched_not_found,,E,R8年度途中の基金運用比較数値を確認できず。,「見つからない」を「存在しない」とは扱わない。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
山口県,350001,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口県 監査・決算・基金運用関係資料,,,,,searched_not_found,,E,R7基金全体の公金運用ポートフォリオ・利回りを確認できず。,「見つからない」を「存在しない」とは扱わない。
山口県,350001,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,山口県 公金・基金運用関係公開資料,,,,,searched_not_found,,E,R8比較可能数値を確認できず。,「見つからない」を「存在しない」とは扱わない。
徳島県,360007,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,金利上昇を見据え、基金を活用した債券運用を拡大する方針を総合計画に明記。,,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,2026,official_plan,,D,債券運用拡大を政策目標として明記。R7基金全体の債券残高・利回り実績は未確認。,「見つからない」を「存在しない」とは扱わない。
徳島県,360007,2026,,annual_plan,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,総合計画上「基金を活用した債券運用の拡大」を継続。,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,,official_plan,,D,方針は明確だがR8実績数値は未確認。,「見つからない」を「存在しない」とは扱わない。
香川県,370002,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,香川県 決算審査意見書（基金運用状況を含む）,HTML,,https://www.pref.kagawa.lg.jp/kansai/kessan/kessan.html,,official_audit,,D,調査時点の一覧ではR6までの審査意見書掲載を確認。R7基金全体の資産構成・利回りの公表を確認できず。,「見つからない」を「存在しない」とは扱わない。
香川県,370002,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,香川県 出納局,HTML,,https://www.pref.kagawa.lg.jp/suito/index.html,,searched_not_found,,E,R8年度途中の比較可能数値を確認できず。,「見つからない」を「存在しない」とは扱わない。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
愛媛県,380008,2025,,policy_only,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛媛県 会計課・予算決算・監査等 公開資料横断検索,HTML,,https://www.pref.ehime.jp/soshiki/113/index.html,2026-09-15,searched_not_found,,E,基金・歳計現金の出納・運用所管は会計課公式ページで確認できるが、R7基金の国債残高・購入額・利回り・運用収入・年限等の全国比較可能な公表実績は再検索でも確認できず。,公表資料のみで調査。利用者から示された未公表情報はデータセットに使用していない。R6全国統一値をR7現在値として扱わない。
愛媛県,380008,2026,,policy_only,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛媛県 会計課・予算決算・監査等 公開資料横断検索,HTML,,https://www.pref.ehime.jp/soshiki/113/index.html,2026-09-15,searched_not_found,,E,R8年度途中の国債残高・購入額・利回り・年限等の全国比較可能な公表実績は再検索でも確認できず。,公表資料のみで調査。会計課が基金・歳計現金の管理を所管することは確認できるが、R8運用実績の詳細公表は確認できず。
高知県,390003,2025,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,official_policy,,D,資金管理方針、基金の預金・債券運用、ラダー型運用の考え方は公表。掲載実績はR6までで、R7実績は本調査時点で未確認。,「見つからない」を「存在しない」とは扱わない。
高知県,390003,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,official_policy,,D,資金管理方針と運用方法は公表。R8年度途中の比較可能な実績数値は未確認。,「見つからない」を「存在しない」とは扱わない。
福岡県,400009,2025,2026-01-13,latest_actual,prefecture_funds,NUMERIC_OFFICIAL_APPROX,,,,,,,,,,,,70.0,,30.0,,,,,,,,1.0,,,,全基金を財政課が一括運用。ゼロ金利下から預金を信用力の高い債券へシフトし、現時点で債券約7割・預金約3割。,,知事定例記者会見（令和8年1月13日）,HTML,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,2026-01-13,official_governor_statement_approx,,C,基金運用構成の概算比率は直接確認できる。R7決算「基金運用状況」PDFも公表済みだが、本調査ではPDF数値の構造化抽出まで至らず。,比率は知事発言の「大体」「約」に基づく概数。
福岡県,400009,2026,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,基金の積立状況の公表について（令和7年度基金運用状況PDFへの公式導線）,HTML,,https://www.pref.fukuoka.lg.jp/contents/kikintumitatejyoukyou.html,2026-08-06,official_settlement_index,,C,R7年度基金運用状況PDFが公表済み。R8年度途中の別実績は未確認。,R8行はR8の運用継続を示す現在の公式開示環境として記録。
佐賀県,410004,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,令和7年度 歳入歳出決算,HTML,,https://www.pref.saga.lg.jp/kiji003120845/index.html,,searched_not_found,,E,R7基金全体の債券残高・利回り等の比較可能な運用実績を確認できず。,R6基金の状況は公表済みだがStage2数値には使用しない。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
佐賀県,410004,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐賀県 会計・決算公開資料,HTML,,https://www.pref.saga.lg.jp/kiji003120845/index.html,,searched_not_found,,E,R8比較可能数値を確認できず。,「見つからない」を「存在しない」とは扱わない。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
長崎県,420000,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,長崎県 公金支出情報公開・決算関連公開資料,HTML,,https://shisyutsukoukai.pref.nagasaki.jp/public/,,searched_not_found,,E,R7基金全体の債券・国債残高、利回りを確認できず。,R6全国統一統計では有価証券比率が高く、追加照会価値が高い。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
長崎県,420000,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,長崎県 公金支出情報公開・予算関連公開資料,HTML,,https://shisyutsukoukai.pref.nagasaki.jp/public/,,official_policy,,D,安全性・流動性・収益性、国債・政府関係機関債・地方債等の対象商品に関する公表はあるが、県基金全体のR8数値は未確認。,検索で得た規程が外郭等の範囲を含む可能性があるため、県本体基金との適用範囲は要確認。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
熊本県,430005,2025,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,熊本県 公金運用実績,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,official_index,,D,調査時点の詳細公表はR6実績まで。R7実績は確認できず。,「見つからない」を「存在しない」とは扱わない。
熊本県,430005,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,歳計現金・歳入歳出外現金・基金を一括運用し、債券はラダー型。国債・地方債・政府保証債・JFM債・財投機関債等を対象。,熊本県公金管理に関する方針（公金運用実績ページ掲載）,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,official_policy,,D,高度な管理方針は確認できるがR8実績値は未確認。,「見つからない」を「存在しない」とは扱わない。
大分県,440001,2025,2026-03-31,annual_actual,prefecture_funds,NUMERIC_OFFICIAL,,137026.053,,,,,,,,,,,,,,842.487,0.615,,,,,,1.0,,1.0,20年のラダー運用を基本とし、高速道路会社債などの購入により運用収入増加を図った。,,令和7年度 公金管理の実績について,1,2 資金運用／令和7年度実績,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,2026-08-26,official_actual,,D,基金平均残高・運用収入・利回りと20年ラダー運用を比較可能。ただし債券残高・債券比率が公表されていないためA～Cの数量比較条件を満たさない。,基金運用収入842.487百万円・利回り0.615%は償還差益17.732百万円を含む。償還差益除きは824.755百万円・0.602%。
大分県,440001,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,原則一括運用。預金と債券を活用し、国債・政府保証債・地方債・JFM債・財投機関債・高速道路会社債等を対象、原則満期保有。,大分県 公金管理の実績・公金管理指針 公開ページ,HTML,,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,2026-08-26,official_policy,,D,対象商品・満期保有・信用リスク管理は確認。R8数値未確認。,R7実績ページから公金管理指針への公式リンクを確認。R8の運用実績数値は未公表。
宮崎県,450006,2025,2025-08-31,latest_actual,public_money_combined,NUMERIC_OFFICIAL_FORECAST,,182900.0,,130700.0,,52200.0,,,,,,28.54018589393111,,71.45981410606889,650.0,650.0,,,,,,,,,,定期預金に加え、10年以下の国債や安全性の高い公社債で運用。R7運用益は5億円超を見込む。,,令和7年12月2日 宮崎県議会会議録（公金運用）,,,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,2026-02-18,official_prefecture_assembly,,C,公金全体の運用残高と基金利益見込みは確認できるが、基金単独の債券残高・利回りは分離できない。,"基金運用利益は約6億5,000万円の見込み（確定実績ではない）。8月末時点では歳計現金・基金等を含む公金全体で定期性預金約1,307億円、債券約522億円。"
宮崎県,450006,2026,,policy_only,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,令和8年度第157回宮崎県の財政（R7下半期財政運営・基金状況を含む）,HTML,,https://www.pref.miyazaki.lg.jp/zaisei/kense/zaise/20260529141701.html,2026-06-23,official_policy,,D,安全性・流動性・効率性を重視し債券活用を継続。R8数値未確認。,R8年度途中の基金運用ポートフォリオ数値は確認できず。公式財政資料で基金状況は確認。見つからないことを存在しないとは扱わない。
鹿児島県,460001,2025,,year_end_actual,prefecture_funds,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,基金の状況（令和7年度）,HTML,,https://www.pref.kagoshima.jp/ab05/kensei/zaisei/kessan/kikin.html,2026-08-06,official_settlement,,D,R7基金状況PDFは公開済み。ただし本調査で基金全体の運用商品別残高・利回りの専用比較表は確認できず。,「見つからない」を「存在しない」とは扱わない。
鹿児島県,460001,2026,,unknown,prefecture_funds,SEARCHED_NOT_FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹿児島県 公金・基金運用関係公開資料,,,,,searched_not_found,,E,R8年度途中の比較可能数値を確認できず。,「見つからない」を「存在しない」とは扱わない。
沖縄県,470007,2025,,policy_only,specific_fund,PARTIAL_OFFICIAL,,,,,,,,,,,,,,,68.724,,,,,,,,,,,"産業振興基金はR6以降、国債等による債券運用を再開し複数年に分散。R7運用収入見込み68,724千円。",,沖縄県産業振興基金 中期見通し,,,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/010/064/r6.3tyuukimitoosi.pdf,,official_specific_fund_plan,,D,県全基金ではなく産業振興基金110億円の個別事例。全国基金比較には直接使用しない。,R7運用収入は予算見込。
沖縄県,470007,2026,,annual_plan,specific_fund,PARTIAL_OFFICIAL,11000.0,,,,,,,,,,,,,,78.724,,,,,,,,,,,,"産業振興基金で国債等の分散運用を継続。R8運用収入見込み78,724千円。",沖縄県産業振興基金／中期見通し,HTML,,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,2026-09-01,official_specific_fund_plan,,D,特定基金のみ。県全基金のポートフォリオではない。,「見つからない」を「存在しない」とは扱わない。
