prefecture,fiscal_year,variable_name,source_document,source_page,source_table,source_url,publication_date,source_quote_or_summary,source_unit,notes
岐阜県,2026,risk_policy_public,公金の運用方針,HTML,,https://www.pref.gifu.lg.jp/page/23266.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,average_fund_balance_million_yen,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,883500,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,cash_deposit_million_yen,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,338800,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,securities_million_yen,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,544700,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,securities_ratio_pct,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,61.652518392756086,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,cash_deposit_ratio_pct,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,38.347481607243914,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,fund_investment_income_million_yen,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,4730,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,investment_yield_pct,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,0.5353706847764572,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,bond_yield_pct,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,0.455,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,deposit_yield_pct,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,0.664,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2025,lump_sum_management,令和7年度資金運用実績,,,https://www.pref.shizuoka.jp/_res/projects/default_project/_page_/001/030/351/shikinnunnyou.08.10.pdf,2026,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 「見つからない」を「存在しない」とは扱わない。
静岡県,2026,lump_sum_management,静岡県 資金運用,HTML,,https://www.pref.shizuoka.jp/kensei/zaiseisuito/suito/1030351.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_current_page; 「見つからない」を「存在しない」とは扱わない。
静岡県,2026,risk_policy_public,静岡県 資金運用,HTML,,https://www.pref.shizuoka.jp/kensei/zaiseisuito/suito/1030351.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_current_page; 「見つからない」を「存在しない」とは扱わない。
愛知県,2025,lump_sum_management,2025年度愛知県財務マネジメント懇談会 議事概要,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,2025-09-30,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_committee; 「見つからない」を「存在しない」とは扱わない。
愛知県,2025,investment_committee,2025年度愛知県財務マネジメント懇談会 議事概要,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,2025-09-30,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_committee; 「見つからない」を「存在しない」とは扱わない。
愛知県,2026,lump_sum_management,愛知県 資金企画・財務マネジメント,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
愛知県,2026,investment_committee,愛知県 資金企画・財務マネジメント,HTML,,https://www.pref.aichi.jp/soshiki/shikin-kikaku/zaimumanagement2025.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
三重県,2025,fund_investment_income_million_yen,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,700,百万円,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast_approx; 700百万円は「約7億円超」の比較用近似下限。確定値としては扱わない。
三重県,2025,risk_policy_public,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast_approx; 700百万円は「約7億円超」の比較用近似下限。確定値としては扱わない。
三重県,2025,R7_policy_change,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,従来の預貯金・長期債券に加え、新規発行の国庫短期証券を導入し債券運用割合を拡大。,記述,period_type=annual_plan; scope=prefecture_funds; source_type=official_forecast_approx; 700百万円は「約7億円超」の比較用近似下限。確定値としては扱わない。
三重県,2026,risk_policy_public,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
三重県,2026,R8_policy_change,令和8年2月27日 三重県議会定例会会議録,,,https://www.pref.mie.lg.jp/common/content/001256985.pdf,2026-02-27,国庫短期証券を含むポートフォリオ管理、単年度・中長期資金計画、一括基金の中長期計画を運用。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
滋賀県,2025,risk_policy_public,滋賀県 会計課（資金管理・出納係）,HTML,,https://www.pref.shiga.lg.jp/kensei/gaiyou/soshiki/kaikeikanrikyoku/kaikeika/,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
滋賀県,2026,risk_policy_public,滋賀県 会計管理局 公金管理関係資料,HTML,,https://www.pref.shiga.lg.jp/ka00/9122.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
大阪府,2025,average_fund_balance_million_yen,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,892300,百万円,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,securities_million_yen,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,290600,百万円,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,investment_income_million_yen,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,1662.489,百万円,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,investment_yield_pct,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,0.442,％,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,bond_yield_pct,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,0.739,％,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,maturity_ladder,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,investment_committee,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2025,risk_policy_public,第25回大阪府財務マネジメント委員会 資料7「資金運用の実績について」,,,https://www.pref.osaka.lg.jp/documents/126891/shiryo7.pdf,2026-02-05,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_forecast; 長期運用の年限別内訳・債券種別構成まで公表。investment_incomeは長期運用利息見込み。
大阪府,2026,maturity_ladder,第25回大阪府財務マネジメント委員会,HTML,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,2026-03-24,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
大阪府,2026,investment_committee,第25回大阪府財務マネジメント委員会,HTML,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,2026-03-24,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
大阪府,2026,risk_policy_public,第25回大阪府財務マネジメント委員会,HTML,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,2026-03-24,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
大阪府,2026,R8_policy_change,第25回大阪府財務マネジメント委員会,HTML,,https://www.pref.osaka.lg.jp/o050010/zaisei/oosakafuzaimumanezim/zaimane25.html,2026-03-24,令和8年度長期運用計画を策定し、財投機関債20年の購入も委員会で検討。,記述,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
兵庫県,2025,average_fund_balance_million_yen,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,840300,百万円,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,securities_million_yen,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,229400,百万円,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,investment_yield_pct,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,0.636,％,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,bond_yield_pct,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,0.84,％,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,average_maturity_years,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,6.21,年,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,maturity_ladder,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,1,0/1,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,investment_committee,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,1,0/1,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2025,risk_policy_public,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,2026,1,0/1,"period_type=annual_actual; scope=prefecture_public_money; source_type=official_actual; 短期運用平均6,109億、債券2,294億、合計8,403億。詳細な購入年限表あり。 R7新規債券購入は計668億円、加重平均利率1.363%、平均年限6.21年（1/2/3/5/10/20/30年に分散）。"
兵庫県,2026,maturity_ladder,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
兵庫県,2026,investment_committee,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
兵庫県,2026,risk_policy_public,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
兵庫県,2026,R8_policy_change,令和7年度資金運用実績及び令和8年度資金運用計画,,,https://web.pref.hyogo.lg.jp/kk21/documents/r8keikaku2.pdf,,R7実績を踏まえ、年度別運用計画・年限分散を継続。,記述,period_type=annual_plan; scope=prefecture_public_money; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
和歌山県,2025,risk_policy_public,令和7年12月 和歌山県議会定例会会議録（基金運用答弁）,HTML,,https://www.pref.wakayama.lg.jp/gijiroku/d00221553.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
和歌山県,2025,R7_policy_change,令和7年12月 和歌山県議会定例会会議録（基金運用答弁）,HTML,,https://www.pref.wakayama.lg.jp/gijiroku/d00221553.html,,基金は預金を基本とし、県債管理基金の一部は他の地方公共団体債でも運用。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
和歌山県,2026,risk_policy_public,和歌山県 財政状況の公表（R8）,HTML,,https://www.pref.wakayama.lg.jp/prefg/010400/d00156229.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
鳥取県,2025,fund_balance_million_yen,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,80400,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,average_fund_balance_million_yen,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,75500,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,cash_deposit_million_yen,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,62700,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,securities_million_yen,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,12100,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,securities_ratio_pct,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,15.049751243781095,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,cash_deposit_ratio_pct,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,77.98507462686567,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,fund_investment_income_million_yen,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,392.53999999999996,百万円,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,bond_yield_pct,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,1.125,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,deposit_yield_pct,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,0.411,％,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2025,risk_policy_public,基金の総額・運用実績,HTML,,https://www.pref.tottori.lg.jp/258342.htm,2026,1,0/1,period_type=annual_actual; scope=prefecture_funds; source_type=official_actual; 平均運用残高755億円は預金640億+債券115億のみ。繰替運用等は含まない。
鳥取県,2026,risk_policy_public,資金運用（歳計現金、基金）,HTML,,https://www.pref.tottori.lg.jp/258339.htm,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
島根県,2026,R8_policy_change,令和8年度 島根県会計年度任用職員採用試験受験案内,,,https://www.pref.shimane.lg.jp/admin/syokuin/bosyu/bosyu_somu/kaikei_saiyoushiken_issei.data/jukenannai_0801.pdf,2026,財政課に「基金運用・管理業務（国債等の購入及び管理）」担当を配置する採用案内を確認。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_recruitment; 「見つからない」を「存在しない」とは扱わない。
岡山県,2025,fund_balance_million_yen,令和7年度 基金の状況（決算見込）,1,基金の状況,https://www.pref.okayama.jp/uploaded/life/1052449_10196574_misc.pdf,2026-08-20,109323.195,百万円,"period_type=year_end_actual; scope=prefecture_funds; source_type=official_forecast; 基金合計109,323,195千円。県債管理基金は満期一括償還分を含まない。決算見込値として扱う。"
岡山県,2025,risk_policy_public,令和7年度 基金の状況（決算見込）,1,基金の状況,https://www.pref.okayama.jp/uploaded/life/1052449_10196574_misc.pdf,2026-08-20,1,0/1,"period_type=year_end_actual; scope=prefecture_funds; source_type=official_forecast; 基金合計109,323,195千円。県債管理基金は満期一括償還分を含まない。決算見込値として扱う。"
岡山県,2026,lump_sum_management,岡山県公金運用方針に関する公式監査資料,10,公金運用の基本的方針・基金運用,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 預金を基本としつつ、一括運用基金は債券のラダー運用を基本とする方針を公式資料で確認。R8実績数値は未確認。
岡山県,2026,maturity_ladder,岡山県公金運用方針に関する公式監査資料,10,公金運用の基本的方針・基金運用,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 預金を基本としつつ、一括運用基金は債券のラダー運用を基本とする方針を公式資料で確認。R8実績数値は未確認。
岡山県,2026,risk_policy_public,岡山県公金運用方針に関する公式監査資料,10,公金運用の基本的方針・基金運用,https://www.pref.okayama.jp/uploaded/life/771490_9281663_misc.pdf,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 預金を基本としつつ、一括運用基金は債券のラダー運用を基本とする方針を公式資料で確認。R8実績数値は未確認。
徳島県,2025,risk_policy_public,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,2026,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
徳島県,2025,R7_policy_change,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,2026,金利上昇を見据え、基金を活用した債券運用を拡大する方針を総合計画に明記。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
徳島県,2026,risk_policy_public,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,,1,0/1,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
徳島県,2026,R8_policy_change,徳島新未来創生総合計画（令和7年度版）,,,https://www.pref.tokushima.lg.jp/file/attachment/993807.pdf,,総合計画上「基金を活用した債券運用の拡大」を継続。,記述,period_type=annual_plan; scope=prefecture_funds; source_type=official_plan; 「見つからない」を「存在しない」とは扱わない。
高知県,2025,maturity_ladder,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
高知県,2025,risk_policy_public,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
高知県,2026,maturity_ladder,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
高知県,2026,risk_policy_public,高知県 資金の運用状況について,HTML,,https://www.pref.kochi.lg.jp/doc/2025072300184/,2025-09-19,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
福岡県,2025,securities_ratio_pct,知事定例記者会見（令和8年1月13日）,HTML,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,2026-01-13,70.0,％,period_type=latest_actual; scope=prefecture_funds; source_type=official_governor_statement_approx; 比率は知事発言の「大体」「約」に基づく概数。
福岡県,2025,cash_deposit_ratio_pct,知事定例記者会見（令和8年1月13日）,HTML,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,2026-01-13,30.0,％,period_type=latest_actual; scope=prefecture_funds; source_type=official_governor_statement_approx; 比率は知事発言の「大体」「約」に基づく概数。
福岡県,2025,lump_sum_management,知事定例記者会見（令和8年1月13日）,HTML,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,2026-01-13,1,0/1,period_type=latest_actual; scope=prefecture_funds; source_type=official_governor_statement_approx; 比率は知事発言の「大体」「約」に基づく概数。
福岡県,2025,R7_policy_change,知事定例記者会見（令和8年1月13日）,HTML,,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,2026-01-13,全基金を財政課が一括運用。ゼロ金利下から預金を信用力の高い債券へシフトし、現時点で債券約7割・預金約3割。,記述,period_type=latest_actual; scope=prefecture_funds; source_type=official_governor_statement_approx; 比率は知事発言の「大体」「約」に基づく概数。
福岡県,2026,lump_sum_management,基金の積立状況の公表について（令和7年度基金運用状況PDFへの公式導線）,HTML,,https://www.pref.fukuoka.lg.jp/contents/kikintumitatejyoukyou.html,2026-08-06,1,0/1,period_type=year_end_actual; scope=prefecture_funds; source_type=official_settlement_index; R8行はR8の運用継続を示す現在の公式開示環境として記録。
長崎県,2026,risk_policy_public,長崎県 公金支出情報公開・予算関連公開資料,HTML,,https://shisyutsukoukai.pref.nagasaki.jp/public/,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 検索で得た規程が外郭等の範囲を含む可能性があるため、県本体基金との適用範囲は要確認。 再検索で公式公開ページを確認したが、基金運用の比較可能な数値は確認できず。
熊本県,2025,lump_sum_management,熊本県 公金運用実績,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=unknown; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
熊本県,2025,maturity_ladder,熊本県 公金運用実績,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=unknown; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
熊本県,2025,risk_policy_public,熊本県 公金運用実績,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=unknown; scope=prefecture_funds; source_type=official_index; 「見つからない」を「存在しない」とは扱わない。
熊本県,2026,lump_sum_management,熊本県公金管理に関する方針（公金運用実績ページ掲載）,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
熊本県,2026,maturity_ladder,熊本県公金管理に関する方針（公金運用実績ページ掲載）,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
熊本県,2026,risk_policy_public,熊本県公金管理に関する方針（公金運用実績ページ掲載）,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,1,0/1,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
熊本県,2026,R8_policy_change,熊本県公金管理に関する方針（公金運用実績ページ掲載）,HTML,,https://www.pref.kumamoto.jp/soshiki/118/68486.html,,歳計現金・歳入歳出外現金・基金を一括運用し、債券はラダー型。国債・地方債・政府保証債・JFM債・財投機関債等を対象。,記述,period_type=policy_only; scope=prefecture_funds; source_type=official_policy; 「見つからない」を「存在しない」とは扱わない。
