prefecture,prefecture_code,fiscal_year,search_performed,data_status,period_type,source_document,source_url,comparison_level,comparison_notes,search_query_pattern,search_result
愛媛県,380008,2025,YES,SEARCHED_NOT_FOUND,policy_only,愛媛県 会計課・予算決算・監査等 公開資料横断検索,https://www.pref.ehime.jp/soshiki/113/index.html,E,基金・歳計現金の出納・運用所管は会計課公式ページで確認できるが、R7基金の国債残高・購入額・利回り・運用収入・年限等の全国比較可能な公表実績は再検索でも確認できず。,愛媛県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
愛媛県,380008,2026,YES,SEARCHED_NOT_FOUND,policy_only,愛媛県 会計課・予算決算・監査等 公開資料横断検索,https://www.pref.ehime.jp/soshiki/113/index.html,E,R8年度途中の国債残高・購入額・利回り・年限等の全国比較可能な公表実績は再検索でも確認できず。,愛媛県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
高知県,390003,2025,YES,PARTIAL_OFFICIAL,policy_only,高知県 資金の運用状況について,https://www.pref.kochi.lg.jp/doc/2025072300184/,D,資金管理方針、基金の預金・債券運用、ラダー型運用の考え方は公表。掲載実績はR6までで、R7実績は本調査時点で未確認。,高知県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
高知県,390003,2026,YES,PARTIAL_OFFICIAL,policy_only,高知県 資金の運用状況について,https://www.pref.kochi.lg.jp/doc/2025072300184/,D,資金管理方針と運用方法は公表。R8年度途中の比較可能な実績数値は未確認。,高知県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福岡県,400009,2025,YES,NUMERIC_OFFICIAL_APPROX,latest_actual,知事定例記者会見（令和8年1月13日）,https://www.pref.fukuoka.lg.jp/site/chiji-kisha/teirei-kisyakaiken20260113.html,C,基金運用構成の概算比率は直接確認できる。R7決算「基金運用状況」PDFも公表済みだが、本調査ではPDF数値の構造化抽出まで至らず。,福岡県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
福岡県,400009,2026,YES,PARTIAL_OFFICIAL,year_end_actual,基金の積立状況の公表について（令和7年度基金運用状況PDFへの公式導線）,https://www.pref.fukuoka.lg.jp/contents/kikintumitatejyoukyou.html,C,R7年度基金運用状況PDFが公表済み。R8年度途中の別実績は未確認。,福岡県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
佐賀県,410004,2025,YES,SEARCHED_NOT_FOUND,unknown,令和7年度 歳入歳出決算,https://www.pref.saga.lg.jp/kiji003120845/index.html,E,R7基金全体の債券残高・利回り等の比較可能な運用実績を確認できず。,佐賀県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
佐賀県,410004,2026,YES,SEARCHED_NOT_FOUND,unknown,佐賀県 会計・決算公開資料,https://www.pref.saga.lg.jp/kiji003120845/index.html,E,R8比較可能数値を確認できず。,佐賀県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
長崎県,420000,2025,YES,SEARCHED_NOT_FOUND,unknown,長崎県 公金支出情報公開・決算関連公開資料,https://shisyutsukoukai.pref.nagasaki.jp/public/,D,R7基金全体の債券・国債残高、利回りを確認できず。,長崎県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
長崎県,420000,2026,YES,PARTIAL_OFFICIAL,policy_only,長崎県 公金支出情報公開・予算関連公開資料,https://shisyutsukoukai.pref.nagasaki.jp/public/,D,安全性・流動性・収益性、国債・政府関係機関債・地方債等の対象商品に関する公表はあるが、県基金全体のR8数値は未確認。,長崎県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
熊本県,430005,2025,YES,SEARCHED_NOT_FOUND,unknown,熊本県 公金運用実績,https://www.pref.kumamoto.jp/soshiki/118/68486.html,D,調査時点の詳細公表はR6実績まで。R7実績は確認できず。,熊本県 令和7年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
熊本県,430005,2026,YES,PARTIAL_OFFICIAL,policy_only,熊本県公金管理に関する方針（公金運用実績ページ掲載）,https://www.pref.kumamoto.jp/soshiki/118/68486.html,D,高度な管理方針は確認できるがR8実績値は未確認。,熊本県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
大分県,440001,2025,YES,NUMERIC_OFFICIAL,annual_actual,令和7年度 公金管理の実績について,https://www.pref.oita.jp/uploaded/attachment/2275311.pdf,D,基金平均残高・運用収入・利回りと20年ラダー運用を比較可能。ただし債券残高・債券比率が公表されていないためA～Cの数量比較条件を満たさない。,大分県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
大分県,440001,2026,YES,PARTIAL_OFFICIAL,policy_only,大分県 公金管理の実績・公金管理指針 公開ページ,https://www.pref.oita.jp/soshiki/11400/koukinkanri.html,D,対象商品・満期保有・信用リスク管理は確認。R8数値未確認。,大分県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
宮崎県,450006,2025,YES,NUMERIC_OFFICIAL_FORECAST,latest_actual,令和7年12月2日 宮崎県議会会議録（公金運用）,https://www.pref.miyazaki.lg.jp/documents/104090/104090_20260218171541-1.pdf,C,公金全体の運用残高と基金利益見込みは確認できるが、基金単独の債券残高・利回りは分離できない。,宮崎県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
宮崎県,450006,2026,YES,PARTIAL_OFFICIAL,policy_only,令和8年度第157回宮崎県の財政（R7下半期財政運営・基金状況を含む）,https://www.pref.miyazaki.lg.jp/zaisei/kense/zaise/20260529141701.html,C,安全性・流動性・効率性を重視し債券活用を継続。R8数値未確認。,宮崎県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
鹿児島県,460001,2025,YES,PARTIAL_OFFICIAL,year_end_actual,基金の状況（令和7年度）,https://www.pref.kagoshima.jp/ab05/kensei/zaisei/kessan/kikin.html,D,R7基金状況PDFは公開済み。ただし本調査で基金全体の運用商品別残高・利回りの専用比較表は確認できず。,鹿児島県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
鹿児島県,460001,2026,YES,SEARCHED_NOT_FOUND,unknown,鹿児島県 公金・基金運用関係公開資料,,D,R8年度途中の比較可能数値を確認できず。,鹿児島県 令和8年度 公金 基金 運用 債券 国債,SEARCHED_NOT_FOUND_REAUDITED_2026-09-15
沖縄県,470007,2025,YES,PARTIAL_OFFICIAL,policy_only,沖縄県産業振興基金 中期見通し,https://www.pref.okinawa.jp/_res/projects/default_project/_page_/001/010/064/r6.3tyuukimitoosi.pdf,D,県全基金ではなく産業振興基金110億円の個別事例。全国基金比較には直接使用しない。,沖縄県 令和7年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
沖縄県,470007,2026,YES,PARTIAL_OFFICIAL,annual_plan,沖縄県産業振興基金／中期見通し,https://www.pref.okinawa.jp/shigoto/keizai/1009879/1009880/1010064.html,D,特定基金のみ。県全基金のポートフォリオではない。,沖縄県 令和8年度 公金 基金 運用 債券 国債,OFFICIAL_SOURCE_FOUND_REAUDITED_2026-09-15
